MONTH,MONTHNUM,STATE,PERIOD,SEASON,CROP,Generic.Name
Jun,6,Rajasthan,Sowing,kharif,bajra,Millet
Jul,7,Rajasthan,Sowing,kharif,bajra,Millet
Sep,9,Rajasthan,Harvesting,kharif,bajra,Millet
Oct,10,Rajasthan,Harvesting,kharif,bajra,Millet
Jun,6,Uttar Pradesh,Sowing,kharif,bajra,Millet
Jul,7,Uttar Pradesh,Sowing,kharif,bajra,Millet
Oct,10,Uttar Pradesh,Harvesting,kharif,bajra,Millet
Nov,11,Uttar Pradesh,Harvesting,kharif,bajra,Millet
Jun,6,All India,Sowing,kharif,bajra,Millet
Jul,7,All India,Sowing,kharif,bajra,Millet
Sep,9,All India,Harvesting,kharif,bajra,Millet
Oct,10,All India,Harvesting,kharif,bajra,Millet
Nov,11,All India,Harvesting,kharif,bajra,Millet
Feb,2,Gujarat,Sowing,summer,bajra,Millet
May,5,Gujarat,Harvesting,summer,bajra,Millet
Jan,1,Karnataka,Sowing,summer,bajra,Millet
Feb,2,Karnataka,Sowing,summer,bajra,Millet
Apr,4,Karnataka,Harvesting,summer,bajra,Millet
May,5,Karnataka,Harvesting,summer,bajra,Millet
Jan,1,All India,Sowing,summer,bajra,Millet
Feb,2,All India,Sowing,summer,bajra,Millet
Apr,4,All India,Harvesting,summer,bajra,Millet
May,5,All India,Harvesting,summer,bajra,Millet
Nov,11,Assam,Sowing,rabi,wheat,Wheat
Dec,12,Assam,Sowing,rabi,wheat,Wheat
Mar,3,Assam,Harvesting,rabi,wheat,Wheat
Apr,4,Assam,Harvesting,rabi,wheat,Wheat
Nov,11,Bihar,Sowing,rabi,wheat,Wheat
Dec,12,Bihar,Sowing,rabi,wheat,Wheat
Mar,3,Bihar,Harvesting,rabi,wheat,Wheat
Apr,4,Bihar,Harvesting,rabi,wheat,Wheat
Oct,10,Gujarat,Sowing,rabi,wheat,Wheat
Nov,11,Gujarat,Sowing,rabi,wheat,Wheat
Feb,2,Gujarat,Harvesting,rabi,wheat,Wheat
Mar,3,Gujarat,Harvesting,rabi,wheat,Wheat
Oct,10,Haryana,Sowing,rabi,wheat,Wheat
Nov,11,Haryana,Sowing,rabi,wheat,Wheat
Dec,12,Haryana,Sowing,rabi,wheat,Wheat
Apr,4,Haryana,Harvesting,rabi,wheat,Wheat
Oct,10,Himachal Pradesh,Sowing,rabi,wheat,Wheat
Nov,11,Himachal Pradesh,Sowing,rabi,wheat,Wheat
Apr,4,Himachal Pradesh,Harvesting,rabi,wheat,Wheat
May,5,Himachal Pradesh,Harvesting,rabi,wheat,Wheat
Jun,6,Himachal Pradesh,Harvesting,rabi,wheat,Wheat
Oct,10,Jammu & Kashmir,Sowing,rabi,wheat,Wheat
Nov,11,Jammu & Kashmir,Sowing,rabi,wheat,Wheat
Dec,12,Jammu & Kashmir,Sowing,rabi,wheat,Wheat
May,5,Jammu & Kashmir,Harvesting,rabi,wheat,Wheat
Oct,10,Karnataka,Sowing,rabi,wheat,Wheat
Nov,11,Karnataka,Sowing,rabi,wheat,Wheat
Jan,1,Karnataka,Harvesting,rabi,wheat,Wheat
Feb,2,Karnataka,Harvesting,rabi,wheat,Wheat
Oct,10,Madhya Pradesh,Sowing,rabi,wheat,Wheat
Nov,11,Madhya Pradesh,Sowing,rabi,wheat,Wheat
Feb,2,Madhya Pradesh,Harvesting,rabi,wheat,Wheat
Mar,3,Madhya Pradesh,Harvesting,rabi,wheat,Wheat
Oct,10,Maharashtra,Sowing,rabi,wheat,Wheat
Nov,11,Maharashtra,Sowing,rabi,wheat,Wheat
Feb,2,Maharashtra,Harvesting,rabi,wheat,Wheat
